CODE,DESTINATION,CONNEC COSTO,GRACE TIME,COST /MIN,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND,,,,
525542040,MEXICO MPP  AT&T AZCAPOTZALCO AZCAPOTZALCO  CDMX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525542050,MEXICO MPP  AT&T AZCAPOTZALCO AZCAPOTZALCO  CDMX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525542060,MEXICO MPP  AT&T AZCAPOTZALCO AZCAPOTZALCO  CDMX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523342380,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523342390,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523342400,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523342410,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523342420,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523342430,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343060,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343070,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343080,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343090,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343100,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343110,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343120,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343130,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343140,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
523343150,MEXICO MPP  AT&T GUADALAJARA GUADALAJARA  JAL,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543200,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543210,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543220,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543230,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543240,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525543250,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
