CODE,DESTINATION,CONNEC COSTO,GRACE TIME,COST /MIN,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND,,,,
1201249,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201250,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201251,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201252,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201253,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201254,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201255,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201256,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201257,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201258,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201259,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201260,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.009,6,6,0,0,0,
1201261,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201262,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201263,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201264,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201265,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201266,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201267,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201268,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201269,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201270,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201271,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
1201272,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.005,6,6,0,0,0,
