CODE,DESTINATION,CONNEC COSTO,COST /MIN,GRACE TIME,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND
34608,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34609,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346123,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34616,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34618,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34619,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34620,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346214,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34626,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34628,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34629,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34630,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346345,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34636,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34638,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34639,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34646,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34648,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34649,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34650,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34659,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34660,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34669,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34676,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34679,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34680,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346810,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346811,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346812,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346813,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346814,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346815,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34682,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34683,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346840,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346841,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346842,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346843,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346845,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34686,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346889,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34689,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34690,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
346940,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
34696,Spain Cellular-Telefonica,0,0.7425,0,1,1,0,1,
