CODE,DESTINATION,CONNEC COSTO,GRACE TIME,COST /MIN,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND
1800,USA TOLL FREE 800,0,0,0.0035,6,6,0,0,9988
1833,USA TOLL FREE 833,0,0,0.0035,6,6,0,0,9988
1844,USA TOLL FREE 844,0,0,0.0035,6,6,0,0,9988
1855,USA TOLL FREE 855,0,0,0.0035,6,6,0,0,9988
1866,USA TOLL FREE 866,0,0,0.0035,6,6,0,0,9988
1877,USA TOLL FREE 877,0,0,0.0035,6,6,0,0,9988
1888,USA TOLL FREE 888,0,0,0.0035,6,6,0,0,9988
1201032,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201040,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201200,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201201,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201202,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201203,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201204,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201205,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201206,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201207,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201208,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201209,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201210,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201212,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201213,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201214,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201215,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201216,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201217,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201218,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201219,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201220,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201221,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201222,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201223,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201224,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201225,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201226,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201227,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201228,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201229,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201230,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201231,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
1201232,USA Jersey City- Bayonne- Bergenfield New Jersey,0,0,0.0035,6,6,0,0,9988
