CODE,DESTINATION,CONNEC COSTO,GRACE TIME,COST /MIN,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND

1508587,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508588,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508589,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508590,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508591,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508592,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508593,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508594,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508595,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508596,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508597,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508598,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508599,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508600,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508603,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508612,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508613,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508614,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508615,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508616,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508617,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508618,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508619,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508620,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508621,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508622,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508623,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508624,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
1508625,USA Worcester- Attleboro- Barnstable Town Massachusetts,0,0,0.0035,6,6,0,0,9988
